




















ssh


local smtp






















































haproxy










































































































































































































































































































































































haproxy






































































rsyslog






























































































































































































































































































































































































































































































































mysql 8.0.34
redis 7.0.12
elasticsearch 8.9.0
elasticsearch 7.16.3
rmq 3.12.2
postgres 15.4
quikrprod
elasticsearch 8.11.1 http
elasticsearch 8.11.1 tcp
kibana 8.11.1
mongo 7.0.3
mongo 7.1.1
memcached 1.6.22
neo4j bolt
neo4j http
redis 7.2.3
redis sentinel 7.2.3
postgres 16.1
solid skeleton
solid router
solid http client
svelte kit http client
solid material ui
svelte kit material ui
solid cric
elasticsearch 7.17.15 http
elasticsearch 7.17.15 tcp
elasticsearch 8.11.0 http
elasticsearch 8.11.0 tcp
elasticsearch 8.10.4 http
elasticsearch 8.10.4 tcp
elasticsearch 8.10.3 http
elasticsearch 8.10.3 tcp
elasticsearch 8.10.2 http
elasticsearch 8.10.2 tcp
elasticsearch 8.10.1 http
elasticsearch 8.10.1 tcp
elasticsearch 8.10.0 http
elasticsearch 8.10.0 tcp
svelte kit cric
memcached 1.6.20
kibana 7.16.3
informant registration
rmq 3.12.11 amqp
rmq 3.12.11 management
rmq 3.11.28 amqp
rmq 3.11.28 management
rmq 3.11.27 amqp
rmq 3.11.27 management
rmq 3.12.10 amqp
